gender,age,education,major,regions,eservice_usage,device_skill_level,freq_used,connection_type,used_purpose,PC_OS,phone_OS,security_apps,secure_level,check_legitimacy,pass_my_info,clicking_on_banners,privacy_settings,SM_services_protect_info,terms_conditions,change_pass_frequently,feel_safe_public_Wi-Fi,no_value_to_hackers?,install_software_updates,careful_clicking_on_links,Internet_security,Internet_security_up_to_date,updated_about_CC_(offline Sources),updated_about_CC(_Online Sources),avoid_disclosing,risk_increased,not_secure,protected,Accept_surveillance,law_manage,informed_threat,phishing_emails,identity_theft,malware,unable_access_online,encountering_extremism,online_extortion,concerned_about_identity_theft,concerned_about_encountering_child_pornography,concerned_about_receiving_phishing_emails,concerned_about_not_being_able_to_access_online,concerned_about_encountering_religious_extremism_material_,opinion_about_online_extortion,future_feeling_CC,government_responsible,media_responsible,tele_responsible,user_responsible,education_responsible,government_role,victim,not_victim_would_like_to_report,new_major,new_ragions,updated_about_CC_(offline Sources)_2,updated_about_CC(_Online Sources)_2
Female,Mature adulthood,Undergraduate,Education,Makkah,Once a day,Intermediate,1,Cellular network,1,Windows,Android,None,Very secure,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,1,No,"Newspapers, magazines, Posters","TV, news, radio",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Do not know,Do not know,Do not know,Do not know,Do not know,Do not know,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,serious issue,Agree,Agree,Agree,Agree,Agree,public awareness,No,"Yes, I would",Not Technical,Western_Province,Yes,Yes
Female,Adult,Undergraduate,Education,Makkah,Frequently,Intermediate,2,Private Wi-Fi,5,Windows,IOS,"Anti-virus, Firewall, Authentication (e.g. password, PIN) , Software update,Backup",Very secure,Often,Never,Always,Always,Often,Often,Often,Never,Sometimes,Often,Always,1,Yes,Government or professional reports,Government websites (e.g. CERT),Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Neutral,Neutral,Never,Never,Never,Never,Never,Sometimes,Never,Do not know,Always,Always,Always,Always,vanish eventually,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,global cyber security,No,"Yes, I would",Not Technical,Western_Province,No,No
Female,Early adulthood,Undergraduate,Languages,Asir,Frequently,Beginner,2,Private Wi-Fi,5,Windows,IOS,"Anti-virus, Authentication (e.g. password, PIN) , Software update,Backup",Very secure,Seldom,Never,Often,Always,Seldom,Seldom,Often,Seldom,Sometimes,Often,Often,2,No,"Professional activities: conferences, meetings, briefings, etc.","Internet, website, email bulletins, blogs, etc.",Strongly Agree,Neutral,Strongly Agree,Disagree,Strongly Agree,Neutral,Disagree,Sometimes,Never,Never,Sometimes,Always,Always,Always,Sometimes,Always,Always,Always,Always,serious issue,Disagree,Disagree,Strongly Agree,Agree,Strongly Disagree,public awareness,No,"Yes, I would",Not Technical,Southern_Province,Yes,Yes
Male,Adult,Postgraduate,Computer Science,Makkah,Frequently,Expert ,3,Private Wi-Fi,5,Windows,IOS,"Anti-virus, Firewall, Authentication (e.g. password, PIN) , Encryption, Software update,Backup",Very secure,Always,Never,Always,Always,Seldom,Sometimes,Sometimes,Never,Seldom,Always,Always,1,Yes,Internet service provider ISPs,"Internet, website, email bulletins, blogs, etc., Rely on automatic updates",Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Neutral,Neutral,Neutral,Always,Always,Sometimes,Sometimes,Sometimes,Always,Always,Do not know,Always,Always,Always,Always,serious issue,Agree,Agree,Agree,Agree,Agree,monitor organisations,Yes,"No, I would not",Technical,Western_Province,No,Yes
Male,Adult,Undergraduate,Engineering,Riyadh,Frequently,Intermediate,2,Cellular network,4,Windows,Android,"Anti-virus, Firewall,Backup",Very secure,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,2,Yes,Government or professional reports,"TV, news, radio, Internet, website, email bulletins, blogs, etc., Government websites (e.g. CERT),Internet service provider ISPs",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Never,Never,Never,Never,Never,Never,Always,Always,Always,Always,Always,Always,serious issue,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,public awareness,No,"Yes, I would",Not Technical,Central_Province,No,Yes
Female,Early adulthood,Undergraduate,Islamic studies,Riyadh,Frequently,Beginner,2,Private Wi-Fi,4,Windows,Windows,"Anti-virus, Authentication (e.g. password, PIN) , Backup",Very secure,Always,Seldom,Always,Always,Sometimes,Always,Seldom,Never,Always,Often,Always,1,No,I do not feel that I keep myself updated,I do not feel that I keep myself updated,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Never,Never,Do not know,Do not know,Never,Never,Somtimes,Never,Never,Do not know,Do not know,Do not know,Don't know,Agree,Agree,Agree,Agree,Agree,Don’t know,No,"Yes, I would",Not Technical,Central_Province,No,No
Female,Early adulthood,Undergraduate,Languages,Makkah,Frequently,Beginner,1,Cellular network,5,Windows,IOS,Software update,Neutral,Often,Always,Always,Often,Sometimes,Sometimes,Often,Sometimes,Often,Sometimes,Always,1,I don't know,I do not feel that I keep myself updated,"Internet, website, email bulletins, blogs, etc.",Strongly Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Neutral,Always,Do not know,Sometimes,Do not know,Do not know,Do not know,Always,Never,Always,Always,Always,Always,serious issue,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,strict laws and punishments,No,"Yes, I would",Not Technical,Western_Province,No,Yes
Male,Mature adulthood,Undergraduate,Education,Makkah,Frequently,Intermediate,1,Cellular network,1,Windows,IOS,"Authentication (e.g. password, PIN)",Very secure,Always,Always,Always,Always,Always,Often,Always,Often,Often,Always,Always,2,Yes,"Newspapers, magazines, Posters","TV, news, radio",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Always,Do not know,Sometimes,Do not know,Always,Always,Always,Always,Always,Always,Always,Always,serious issue,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,strict laws and punishments,No,"Yes, I would",Not Technical,Western_Province,Yes,Yes
Male,Early adulthood,Postgraduate,Engineering,Makkah,Frequently,Intermediate,2,Public Wi-Fi,4,Windows,IOS,"Anti-virus, Authentication (e.g. password, PIN) , Software update,Backup",Not sure ,Often,Always,Often,Always,Sometimes,Seldom,Sometimes,Never,Never,Always,Often,2,Yes,"Newspapers, magazines, Posters, Professional activities: conferences, meetings, briefings, etc., Internet service provider ISPs, Government or professional reports","Internet, website, email bulletins, blogs, etc., Government websites (e.g. CERT),Internet service provider ISPs, Rely on automatic updates",Agree,Strongly Agree,Strongly Agree,Disagree,Neutral,Neutral,Agree,Always,Do not know,Always,Do not know,Sometimes,Never,Always,Never,Always,Sometimes,Always,Never,vanish eventually,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,public awareness,Yes,"No, I would not",Not Technical,Western_Province,Yes,Yes
Female,Adult,Postgraduate,Education,Eastern Province,Frequently,Intermediate,2,Private Wi-Fi,6,mac OS,IOS,"Firewall, Authentication (e.g. password, PIN) , Software update,Backup",Very secure,Often,Often,Often,Sometimes,Often,Often,Often,Often,Often,Often,Often,2,Yes,I do not feel that I keep myself updated,I do not feel that I keep myself updated,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Do not know,Do not know,Do not know,Do not know,Do not know,Do not know,Somtimes,Sometimes,Always,Always,Always,Always,serious issue,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,strict laws and punishments,No,"Yes, I would",Not Technical,Eastern Province,No,No
Female,Early adulthood,Undergraduate,Medicine or public health,Makkah,Frequently,Intermediate,2,Public Wi-Fi,5,mac OS,IOS,"Anti-virus, Firewall,Backup",Very secure,Often,Never,Always,Always,Never,Seldom,Often,Never,Never,Seldom,Seldom,1,No,I do not feel that I keep myself updated,I do not feel that I keep myself updated,Agree,Neutral,Strongly Agree,Strongly Disagree,Disagree,Agree,Strongly Agree,Do not know,Never,Never,Never,Never,Never,Never,Do not know,Never,Never,Always,Never,serious issue,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,monitor organisations,No,"Yes, I would",Not Technical,Western_Province,No,No
Male,Mature adulthood,Undergraduate,Biology,Eastern Province,Frequently,Expert ,4,Public Wi-Fi,6,Windows,IOS,"Anti-virus, Software update,Backup",Very secure,Always,Never,Always,Always,Never,Always,Always,Never,Never,Always,Always,3,Yes,"Newspapers, magazines, Posters, Professional activities: conferences, meetings, briefings, etc., Internet service provider ISPs, Government or professional reports","Government websites (e.g. CERT),Internet service provider ISPs, Rely on automatic updates",Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Agree,Always,Never,Always,Always,Always,Always,Do not know,Do not know,Always,Always,Always,Always,serious issue,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,public awareness,No,"Yes, I would",Not Technical,Eastern Province,Yes,Yes
Male,Mature adulthood,Postgraduate,Statics,Makkah,Frequently,Intermediate,4,Public Wi-Fi,5,Windows,IOS,"Anti-virus, Firewall, Authentication (e.g. password, PIN)",Neutral,Often,Never,Sometimes,Sometimes,Sometimes,Never,Seldom,Sometimes,Often,Sometimes,Often,4,I don't know,I do not feel that I keep myself updated,I do not feel that I keep myself updated,Neutral,Agree,Agree,Disagree,Strongly Agree,Neutral,Disagree,Sometimes,Do not know,Sometimes,Sometimes,Do not know,Do not know,Somtimes,Do not know,Always,Sometimes,Always,Sometimes,serious issue,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,global cyber security,Yes,"No, I would not",Not Technical,Western_Province,No,No
Male,Mature adulthood,Undergraduate,Education,Eastern Province,Frequently,Intermediate,2,Private Wi-Fi,2,Windows,Android,"Firewall, Authentication (e.g. password, PIN)",Not sure ,Often,Often,Often,Always,Seldom,Sometimes,Often,Never,Often,Seldom,Often,2,No,I do not feel that I keep myself updated,"Internet, website, email bulletins, blogs, etc.",Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Do not know,Do not know,Do not know,Sometimes,Sometimes,Sometimes,Always,Never,Never,Always,Always,Always,serious issue,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,strict laws and punishments,No,"Yes, I would",Not Technical,Eastern Province,No,Yes
Male,Mature adulthood,Undergraduate,Business Administration,Eastern Province,Frequently,Intermediate,2,Private Wi-Fi,3,Windows,IOS,"Anti-virus, Authentication (e.g. password, PIN)",Very secure,Often,Never,Always,Always,Never,Always,Seldom,Seldom,Seldom,Always,Always,1,Yes,"Newspapers, magazines, Posters, Professional activities: conferences, meetings, briefings, etc., Government or professional reports","Internet, website, email bulletins, blogs, etc.",Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Always,Always,Always,Do not know,Sometimes,Do not know,Always,Always,Always,Always,Always,Always,serious issue,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,global cyber security,No,"Yes, I would",Not Technical,Eastern Province,Yes,Yes
